mi_attempt_id	colony_name
19606	jr33626
19776	jr33629
19780	jr33650
19788	jr33651
19766	TCPR1301_AEEG
19768	TCPR1302_AEEH
18789	TCPR1152_ADYN
18755	jr32690
18682	jr32693
18958	jr32702
18813	TCPR1204_ADZG
18807	TCPR1164_ADZH
18195	jr32824
18880	jr32825
18712	jr32826
19306	jr33274
16875	CR1604
17885	CR1759
17880	CR1768
17640	CR1780
17910	CR10000
17925	CR10021
17929	CR10025
17943	CR10039
17944	CR10040
17554	CR10065
17581	CR10086
17582	CR10087
17616	CR10099
17632	CR10105
19770	jr33601
18896	jr32677
18959	jr32682
18957	jr32686
18897	jr32699
18680	jr32697
18887	jr32820
19282	H-NPY2R-DEL1033-EM2-B6N
19512	jr33438
19572	CR10508
19522	CR10501
19474	CR10488
19361	CR10477
19360	CR10476
19244	CR10422
19241	CR10418
19564	jr33581
19399	jr33582
19598	jr33590
19594	jr33594
19669	jr33597
19771	jr33600
19772	jr33627
19774	jr33630
19792	jr33631
19777	jr33632
19563	jr33633
19795	jr33628
19604	jr33636
19778	jr33644
17077	CR1642
17417	CR1700
18003	CR10006
17917	CR10011
17953	CR10014
17932	CR10028
17933	CR10029
17939	CR10035
17941	CR10037
17954	CR10044
17488	CR10051
17490	CR10053
17505	CR10058
17544	CR10061
17562	CR10077
17563	CR10078
17613	CR10096
19059	H-ENO2-DEL930-EM1-B6N
18921	H-KCNF1-DEL15DEL1046-EM1-B6N
19548	CR10502
19490	CR10495
19337	CR10471
19524	jr33578
19467	jr33579
19562	jr33580
19597	jr33593
19597	jr33953
19666	jr33596
19509	jr33598
19508	jr33599
19605	jr33603
19791	jr33625
19794	jr33634
19793	jr33635
19557	jr33645
17482	TCPR1051_ADSL
17298	TCPR0979_ADSM
17096	CR1665
17890	CR1751
17888	CR1754
17879	CR1771
17928	CR10024
17940	CR10036
17945	CR10041
17543	CR10060
17553	CR10064
17556	CR10068
17584	CR10090
17634	CR10107
17911	CR10002
18698	CSRAB
19083	jr32829
18568	PRXAB
18571	SUGCB
18718	jr32841
19465	jr33427
19510	jr33429
19551	jr33435
19513	jr33440
19461	jr33444
19401	jr33445
19460	jr33446
19511	jr33471
19367	jr33472
19560	jr33482
19528	jr33478
19506	jr33490
19221	SHTAB
19214	ILBAB
19016	RRCAB
19420	ERIAB
19421	DBXAB
19410	DDXAB
19125	UQRAB
19218	TXNAB
19384	TCPR1264_AEDS
19750	TCPR1284_AEDT
20403	jr33693
